ID,Question Content,Explanation,ID (Options),Is Correct (Options),Option Text (Options)
e4186ebb5d,<TH> Hệ phương trình nào sau đây vô nghiệm?,,4bd3bd02c,0,\[ \begin{cases} \frac{2}{x} + y = -1 \\ \frac{1}{x} + y = -2 \end{cases} \]
,,,1e77c705f,0,\[ \begin{cases} \frac{3}{x} + y = -2 \\ \frac{2}{x} - y = 1 \end{cases} \]
,,,332f46bb1,1,\[ \begin{cases} \frac{2}{x} - y = 1 \\ \frac{4}{x} + y = 2 \end{cases} \]
,,,6e82cb1e5,0,\[ \begin{cases} \frac{4}{x} + y = -6 \\ \frac{2}{x} - y = 1 \end{cases} \]
818435a660,"<TH> Phương trình \(x^2 - 4x + m = 0\) có nghiệm kép, khi đó giá trị của \(m\) bằng",,84389780a,1,\(m = 4\).
,,,db1c0bd9c,0,\(m = 16\).
,,,d8d65aaa6,0,\(m = -16\).
,,,5ac0bc406,0,\(m = -4\).
c73cad0f7c,"<NB> Cho tam giác \(ABC\) vuông tại \(A\), đường cao \(AH\) (\(H \in BC\)). Hệ thức nào đúng?",,5df30219a,0,\(AC^2 = BC \cdot BH\).
,,,363dea1de,0,\(AB^2 = AH \cdot BC\).
,,,1f3017f78,0,\(AH^2 = AB \cdot AC\).
,,,4c726a234,1,\(AH \cdot BC = AB \cdot AC\).
ac2c87edbd,"<TH> Cho đường tròn \((A; 2\,cm)\) và đường tròn \((B; 3\,cm)\). Biết \(AB = 5\,cm\), số tiếp tuyến chung ngoài của hai đường tròn là",,ee6ca7952,0,3.
,,,2bb24da3b,1,2.
,,,e36a6fc93,0,1.
,,,0f1f47d31,0,4.
d97783048a,<TH> Cho đường tròn \((O)\) đường kính \(AB\). Lấy điểm \(C\) thuộc \((O)\) sao cho \(sd\overset{\frown}{BC} = 100^\circ\). Số đo góc \(\widehat{BAC}\) là,,9b9b884b3,0,\(80^\circ\).
,,,2d6028b69,0,\(40^\circ\).
,,,685170206,0,\(100^\circ\).
,,,7796174d1,1,\(50^\circ\).
5c05d00be3,"<NB> Hai điểm \(A, B\) thuộc đường tròn \((O)\) và \(\widehat{AOB} = 60^\circ\). Số đo cung nhỏ \(AB\) bằng",,287ed34f2,0,\(90^\circ\).
,,,b009ccf0d,0,\(30^\circ\).
,,,f5cbeea27,1,\(60^\circ\).
,,,f9fe51d2e,0,\(120^\circ\).
c9c94ff900,<TH> Bộ số đo nào dưới đây có thể là góc của tứ giác nội tiếp?,,a62449571,1,\(75^\circ; 85^\circ; 105^\circ; 95^\circ\).
,,,e09e8fb34,0,\(68^\circ; 92^\circ; 112^\circ; 98^\circ\).
,,,7fa906c08,0,\(60^\circ; 105^\circ; 120^\circ; 85^\circ\).
,,,1f8dd0ab7,0,\(80^\circ; 90^\circ; 110^\circ; 90^\circ\).
c96cd1eeb1,<TH> Kết quả rút gọn biểu thức \((\sqrt{5} - 1)^2\) bằng,,acfe20b86,1,\(1 - \sqrt{5}\).
,,,271bfd8e5,0,\(1 - 2\sqrt{5}\).
,,,40274f09b,0,\(1\).
,,,8ce561cd4,0,\(2\sqrt{5} - 1\).
ac085c8818,<NB> Diện tích xung quanh hình trụ có bán kính đáy \(r\) và chiều cao \(h\) là,,53365ced1,0,\(2\pi rh + 2\pi r^2\).
,,,a22b65099,0,\(\pi rh + 2\pi r^2\).
,,,cec435254,1,\(2\pi rh\).
,,,798fb3733,0,\(\pi rh\).
67427427f5,<NB> Phương trình nào sau đây là phương trình bậc hai ẩn \( x \)?,,680b0ad61,0,\( 2x^2 - 3\sqrt{x} + 1 = 0 \).
,,,a9671f6ba,0,\( 3x - y^2 + 2 = 0 \).
,,,3497ea94f,1,\( 2x^2 + 4x - 1 = 0 \).
,,,6e8d41cab,0,\( 2x^2 - 4x^3 + 1 = 0 \).
a4ddf69ac3,<TH> Nghiệm tổng quát của phương trình \( 3x - y = 6 \) là,,4448e0c40,0,\( \begin{cases} x \in \mathbb{R} \\ y = 3x + 6 \end{cases} \).
,,,7b92b549a,0,\( \begin{cases} x \in \mathbb{R} \\ y = -3x - 2 \end{cases} \).
,,,f058ef005,1,\( \begin{cases} x \in \mathbb{R} \\ y = 3x - 6 \end{cases} \).
,,,8c578cb35,0,\( \begin{cases} x \in \mathbb{R} \\ y = 6 - 3x \end{cases} \).
3aff4821cd,<TH> Căn bậc hai số học của \( (-\sqrt{5})^2 \) là,,2973c55b2,0,\(-5\).
,,,7e0deae54,0,\(5\).
,,,b522d2130,1,\(\sqrt{5}\).
,,,f07327232,0,\(-\sqrt{5}\).
7dd334f2a1,"<NB> Cho tam giác \( ABC \) nhọn, đường cao \( AH \) (\( H \in BC \)). Khi đó \( \cos C \) bằng",,54b9d276c,0,\( \frac{CH}{AH} \).
,,,5b6486318,0,\( \frac{AB}{BC} \).
,,,5a3aea20b,0,\( \frac{AC}{BC} \).
,,,653cdab5e,1,\( \frac{HC}{AC} \).
6b2c22fc20,<TH> Cho hai đường tròn \( (O; 4cm) \) và \( (O'; 3cm) \). Biết \( OO' = 5cm \). Vị trí tương đối của hai đường tròn là,,ca58a9c59,0,Không cắt nhau.
,,,a1f0803d2,0,Tiếp xúc ngoài.
,,,2565cf254,0,Tiếp xúc trong.
,,,900494dc1,1,Cắt nhau.
3a40806940,<NB> Có bao nhiêu đường tròn đi qua 2 điểm phân biệt cho trước?,,a7eecdd5f,0,2.
,,,bb73a529d,0,1.
,,,b76ae07d3,0,3.
,,,1c9831a5f,1,Vô số.
2171322985,<TH> Điều kiện xác định của biểu thức \( \sqrt{x - 2023} \) là,,7f34d903f,1,\( x \geq 2023 \).
,,,41413532f,0,\( x \leq 2023 \).
,,,f0a0174c2,0,\( x > 2023 \).
,,,3afd466aa,0,\( x < 2023 \).
f3edc1802c,<TH> Điểm \( A(-1; 2) \) thuộc đồ thị hàm số nào sau đây?,,b65c183ad,1,\( y = x + 3 \).
,,,17256da78,0,\( y = 3x - 7 \).
,,,e5e8db8ce,0,\( y = -x + 3 \).
,,,32d6fc612,0,\( y = 3x + 1 \).
4e0d22cd63,"<NB> Cho hàm số \( y = -2023x^2 \), khẳng định đúng là",,25af8b90a,0,Đồ thị không đi qua gốc tọa độ.
,,,a5fe9401a,0,Hàm số đồng biến khi \( x > 0 \).
,,,47980381c,1,Hàm số nghịch biến khi \( x > 0 \).
,,,a968c8404,0,Hàm số nghịch biến trên \( \mathbb{R} \).
d0fa965438,<NB> Hàm số nào đồng biến trên \( \mathbb{R} \)?,,f8c292d30,0,\( y = -2x \).
,,,35647a7c3,0,\( y = 2 - 3x \).
,,,d3a5ab792,1,\( y = 3x - 2 \).
,,,07b55ea38,0,\( y = -2x + 3 \).
37c2028a11,"<TH> Cho \( (O; R) \) có dây \( AB = 24cm \), khoảng cách từ \( O \) đến \( AB \) là \( 5cm \). Bán kính \( R \) bằng",,1efba6d2d,1,\( 13cm \).
,,,838eb731e,0,\( 15cm \).
,,,12ef0e60b,0,\( 16cm \).
,,,6ba531f83,0,\( 12cm \).
